diagram,average,stddev
y22a3s8d1.pdf,830.240689286455,407.60947291421786
y21a3s1d1.pdf,1987.5831360645423,901.0757333497781
y24a3s3d9.pdf,730.9888310118021,360.8765421076872
y17a3s8d1.pdf,641.0766376899485,358.7778220020455
y17a5s3d1.pdf,884.197829994607,492.92255296757725
y18a5s9d2.pdf,805.0180174045809,412.9600095540456
y17a2s8d3.pdf,822.8733164636157,393.9699622906238
y19a3s6d10.pdf,893.3059103037598,428.5157067527763
y24a6s7d6.pdf,535.8681034845324,225.79426120954253
y18a5s12d2.pdf,835.4808320566275,375.0263126079533
y24a3s1d3.pdf,575.7007288263368,260.5187213275815
y24a3s2d5.pdf,719.1870136311142,337.7732781145228
y17a4s11d2.pdf,929.1440084695524,434.4394477339214
y18a2s9d3.pdf,665.1977240713861,323.49117321922756
y18a4s5d2.pdf,1136.0614245748352,561.8183823844054
y17a4s9d1.pdf,524.624929445607,293.40108819789174
y21a3s3d4.pdf,812.92100603682,460.3402288044927
y18a4s1d3.pdf,742.8680048353165,400.4975997331274
y21a4s6d1.pdf,1568.5828818181153,796.6943269606508
y21a3s8d1.pdf,1607.4984096369567,830.9192972085752
y20a3s6d1.pdf,1467.776128531156,733.5497426235395
y21a3s6d4.pdf,1054.3228487483748,525.922769214778
y22a4s5d1.pdf,983.7758653169518,506.41228878051174
y17a2s2d3.pdf,663.3117932405282,311.5045642032606
y17a4s14d1.pdf,1279.8859253278272,759.3025335631789
y17a2s4d2.pdf,667.7792108395939,316.4969981103666
y19a3s7d5.pdf,956.204282334162,420.8270374462769
y21a3s3d5.pdf,1469.2672193167734,724.5115817482217
y23a6s4d2.pdf,823.1223011281627,360.8918334913057
y18a2s3d3.pdf,613.273940650193,261.1441308027367
y18a2s2d4.pdf,1071.5088578249288,570.4059320720432
y19a6s4d2.pdf,1618.3192691839772,829.3292024246913
y24a3s1d4.pdf,713.4286914979793,330.0775100664732
y19a6s1d1.pdf,1326.8001754834718,623.8255730723769
y20a6s7d2.pdf,1048.4787968622763,495.14573959524694
y18a4s8d2.pdf,554.6379515494987,263.8742185306808
y21a5s7d1.pdf,1576.9822169915383,804.1831336844468
y22a3s9d5.pdf,617.674794835459,290.80682545245645
y17a5s4d2.pdf,1405.6471725102851,645.348295123057
y19a5s6d1.pdf,1702.6386544311083,801.8604813087151
y24a6s3d3.pdf,1064.2481522683402,495.2018943270089
y23a3s2d5.pdf,698.669846359038,341.8414055725724
y23a6s1d1.pdf,713.1552966604565,337.0910430877461
y19a6s9d1.pdf,1398.0501654378334,732.2091090417348
y17a4s4d1.pdf,727.4828650654854,385.48603221921405
y20a6s1d1.pdf,1065.2936403119638,503.02512785798854
y17a5s1d4.pdf,815.017060882398,379.92184466418263
y21a6s5d2.pdf,1914.2127536761002,850.9347108613032
y20a3s3d5.pdf,1051.4742255849471,492.6656099454612
y19a5s2d2.pdf,833.0626193144968,425.60927681548037
y19a3s13d5.pdf,853.8301543406254,383.59467940129156
y21a3s6d6.pdf,1115.0886243463372,577.7300506019614
y20a4s4d1.pdf,1451.1141626030342,651.516813284482
y21a5s4d1.pdf,1851.9680625992974,891.7228133682777
y17a3s3d1.pdf,698.3027537614095,325.2437174327031
y24a6s5d5.pdf,632.2507762110106,276.97023583072985
y17a4s12d1.pdf,710.6632618277479,353.9471923717622
y24a5s3d2.pdf,549.1446767033228,349.41993200670134
y17a2s3d4.pdf,803.446169009447,359.18374042597776
y17a4s8d2.pdf,923.9482793693145,460.38098416408894
y18a4s3d1.pdf,665.7529900312777,316.19075057182204
y17a5s5d1.pdf,1268.4073805264336,701.5753614511426
y17a2s5d3.pdf,793.3208294184412,362.4228003982608
y17a4s3d1.pdf,713.7021664301541,365.4269792577534
y21a3s7d3.pdf,1024.159083040531,435.0120714369987
y18a3s9d1.pdf,1070.7424328718757,513.4787440575096
y18a5s1d1.pdf,701.4786854344912,343.63188930892994
y20a5s1d1.pdf,1458.9339437780943,784.8646906395595
y24a6s7d3.pdf,611.0521177783769,234.57848348498615
y23a5s4d1.pdf,820.4669173305018,394.80689205056694
y22a5s2d2.pdf,1094.207768091205,681.3468008405575
y24a3s7d4.pdf,797.0129987849224,347.4609848270962
y24a5s7d5.pdf,957.9526120839777,320.21679063016757
y23a6s3d1.pdf,972.7771258986617,505.4429984488817
y19a3s3d3.pdf,1313.6893114312738,668.468186031721
y19a3s7d4.pdf,1286.9364948694658,556.9670675921905
y18a3s3d1.pdf,925.3106780217773,538.5129126065756
y20a5s7d1.pdf,1925.5507068270917,891.1494316026827
y18a2s1d4.pdf,491.2348682772555,232.84558772154332
y20a3s2d6.pdf,1154.2084129878824,514.6041865353982
y21a3s4d2.pdf,1531.9445214246473,726.7170830414368
y17a2s7d1.pdf,888.6836915231364,392.00296774876733
y17a4s2d2.pdf,1045.669610251311,544.5345019120728
y21a5s4d2.pdf,1452.5980359744337,651.9085371085521
y19a3s6d4.pdf,907.917429513795,453.9756731073794
y19a5s10d2.pdf,1070.9201338186208,269.7876948921887
y19a3s9d2.pdf,966.4887651035012,521.190305313665
y19a5s13d1.pdf,1417.5770885240597,687.275663939271
y24a4s2d1.pdf,1143.2098663349107,555.8130754648738
y23a4s1d1.pdf,770.9293355745933,387.44036858479546
y19a4s9d1.pdf,1691.3637012051438,833.4390343009085
y19a6s2d6.pdf,1299.4121362101598,638.2448539573845
y24a6s2d3.pdf,1179.07141114273,773.3077198942949
y20a3s6d4.pdf,1211.733647105468,557.9894429758336
y17a5s8d2.pdf,610.8010536789939,292.2604900371449
y18a2s8d1p2.pdf,842.5295714425816,390.06595298944166
y17a2s6d1.pdf,700.850660185411,346.91830426539246
y21a5s1d1.pdf,1506.7436648940609,778.6207625336044
y22a6s3d1.pdf,1100.3054657909693,619.9664719362502
y20a3s6d2.pdf,1491.8777307495372,820.538883891836
y24a3s7d1.pdf,708.2385041405778,408.4566003287644
y23a5s6d1.pdf,707.7709750770836,365.5403463410793
