y24a3s1d1,19
y24a3s1d4,11
y24a3s2d1,22
y24a3s2d6,9
y24a3s3d1,22
y24a3s3d2,20
y24a3s3d3,7
y24a3s3d8,8
y24a3s3d9,7
y24a3s3d10,9
y24a3s4d1,25
y24a3s4d7,9
y24a3s5d1,10
y24a3s5d3,6
y24a3s6d1,28
y24a3s6d3,12
y24a3s7d1,9
y24a3s7d4,11
y24a4s1d1,6
y24a4s2d1,5
y24a4s3d1,5
y24a4s4d1,6
y24a4s5d1,7
y24a4s6d1,8
y24a4s7d1,6
y24a5s1d1,21
y24a5s1d2,5
y24a5s2d1,15
y24a5s2d2,6
y24a5s2d3,7
y24a5s3d1,18
y24a5s3d2,9
y24a5s4d1,16
y24a5s4d2,6
y24a5s5d1,21
y24a5s5d2,7
y24a5s6d1,18
y24a5s6d2,8
y24a5s7d1,7
y24a5s7d2,6
y24a5s7d3,8
y24a5s7d4,8
y24a5s7d5,7
y24a5s7d6,8
y24a6s1d1,21
y24a6s1d2,13
y24a6s2d1,8
y24a6s2d2,12
y24a6s2d3,13
y24a6s3d1,4
y24a6s3d2,16
y24a6s3d3,8
y24a6s4d1,18
y24a6s4d2,5
y24a6s5d1,5
y24a6s5d2,5
y24a6s5d3,5
y24a6s5d4,16
y24a6s5d5,7
y24a6s6d1,32
y24a6s6d2,10
y24a6s7d1,16
y24a6s7d2,18
y24a6s7d3,8
y24a6s7d4,8
y24a6s7d5,5
y24a6s7d6,14
y23a3s1d1,27
y23a6s3d1,17
y23a5s4d1,19
y23a5s6d1,24
y23a3s5d1,16
y23a5s2d1,20
y23a3s3d3,10
y23a3s5d4,13
y23a3s3d1,22
y23a5s5d1,16
y23a6s1d1,9
y23a5s1d1,18
y23a3s1d3,8
y23a6s3d2,8
y23a5s2d2,7
y23a5s3d1,18
y23a5s6d2,7
y23a3s5d1,12
y23a6s4d1,16
y23a3s2d5,15
y23a3s4d1,17
y23a6s1d2,5
y23a6s2d2,9
y23a6s4d2,7
y23a5s4d2,9
y23a5s1d2,7
y23a5s3d2,6
y23a3s4d4,12
y23a4s2d1,6
y23a6s2d1,6
y23a6s5d2,7
y23a4s3d1,5
y23a4s1d1,5
y23a6s5d1,6
y23a3s2d1,10
y23a4s6d1,18
y23a4s4d1,6
y23a4s5d1,5
y22a3s1d1,9
y22a3s1d4,10
y22a3s2d1,17
y22a3s2d2,23
y22a3s3d1,21
y22a3s3d6,9
y22a3s4d1,16
y22a3s4d3,7
y22a3s5d1,10
y22a3s5d4,12
y22a3s5d5,9
y22a3s6d1,22
y22a3s6d5,17
y22a3s7d1,18
y22a3s7d4,15
y22a3s8d1,21
y22a3s8d3,11
y22a3s9d1,10
y22a3s9d7,12
y22a4s1d1,7
y22a4s3d1,5
y22a4s4d1,4
y22a4s5d1,5
y22a4s6d1,6
y22a4s7d1,6
y22a4s8d1,5
y22a4s9d1,6
y22a5s1d1,20
y22a5s1d2,7
y22a5s2d1,8
y22a5s2d3,32
y22a5s3d1,23
y22a5s3d2,7
y22a5s4d1,17
y22a5s4d2,6
y22a5s5d1,21
y22a5s5d2,7
y22a5s6d1,13
y22a5s6d2,7
y22a5s7d1,33
y22a5s7d2,10
y22a5s8d1,17
y22a5s8d2,6
y22a5s9d1,17
y22a5s9d2,7
y22a5s10d1,16
y22a5s10d2,9
y22a6s1d1,6
y22a6s1d2,7
y22a6s2d1,19
y22a6s2d2,12
y22a6s3d1,17
y22a6s3d2,10
y22a6s4d1,17
y22a6s4d2,6
y22a6s5d1,7
y22a6s5d2,4
y22a6s6d1,21
y22a6s6d2,5
y22a6s6d3,4
y22a6s6d4,11
y22a6s7d1,32
y22a6s7d2,12
y22a6s8d1,40
y22a6s8d2,15
y22a6s9d1,14
y22a6s9d2,8
y22a6s10d1,19
y22a6s10d3,9
y21a3s1d1,16
y21a3s1d5,10
y21a3s2d1,11
y21a3s2d4,6
y21a3s3d1,19
y21a3s3d5,12
y21a3s4d1,17
y21a3s4d4,8
y21a3s5d1,12
y21a3s5d4,10
y21a3s6d1,19
y21a3s6d7,9
y21a3s7d1,22
y21a3s7d6,7
y21a3s8d1,23
y21a3s8d5,8
y21a4s1d1,8
y21a4s2d1,6
y21a4s3d1,5
y21a4s4d1,5
y21a4s5d1,3
y21a4s6d1,7
y21a4s7d1,6
y21a4s8d1,6
y21a5s1d1,17
y21a5s1d2,6
y21a5s2d1,18
y21a5s2d2,6
y21a5s3d1,18
y21a5s3d2,7
y21a5s4d1,19
y21a5s4d2,7
y21a5s5d1,18
y21a5s5d2,7
y21a5s6d1,24
y21a5s6d2,7
y21a5s7d1,18
y21a5s7d2,6
y21a5s8d1,23
y21a5s8d2,7
y21a6s1d2,6
y21a6s1d3,16
y21a6s2d1,23
y21a6s2d2,10
y21a6s3d1,7
y21a6s3d2,15
y21a6s3d3,8
y21a6s4d1,17
y21a6s4d2,7
y21a6s5d1,13
y21a6s5d2,9
y21a6s6d1,21
y21a6s6d2,8
y21a6s7d1,13
y21a6s7d2,8
y21a6s8d1,27
y21a6s8d2,16
y20a3s1d1,10
y20a3s1d3,10
y20a3s1d4,10
y20a3s2d1,18
y20a3s2d6,10
y20a3s3d1,22
y20a3s3d5,9
y20a3s3d6,9
y20a3s4d1,26
y20a3s4d3,7
y20a3s5d1,27
y20a3s5d3,8
y20a3s6d2,11
y20a3s6d3,10
y20a4s1d1,4
y20a4s2d1,4
y20a4s3d1,6
y20a4s4d1,6
y20a4s5d1,6
y20a4s6d1,8
y20a4s7d1,5
y20a5s1d1,18
y20a5s1d2,7
y20a5s2d1,19
y20a5s2d2,8
y20a5s3d1,20
y20a5s3d2,7
y20a5s4d1,20
y20a5s4d2,7
y20a5s5d1,20
y20a5s5d2,10
y20a5s6d1,17
y20a5s6d2,7
y20a5s7d1,21
y20a5s7d2,6
y20a6s1d1,18
y20a6s1d2,5
y20a6s2d1,14
y20a6s2d2,9
y20a6s3d1,19
y20a6s3d2,10
y20a6s4d1,23
y20a6s4d2,8
y20a6s5d1,27
y20a6s5d2,8
y20a6s6d1,10
y20a6s6d2,6
y20a6s7d1,24
y20a6s7d2,9
y19a3s1d9,12
y19a3s2d3,9
y19a3s3d1,14
y19a3s4d4,13
y19a3s4d5,10
y19a3s5d3,12
y19a3s6d12,15
y19a3s7d5,7
y19a3s7d6,10
y19a3s7d7,9
y19a3s7d8,8
y19a3s8d2,11
y19a3s9d2,14
y19a3s10d2,8
y19a3s11d2,13
y19a3s12d2,11
y19a3s12d3,12
y19a3s12d4,12
y19a3s13d7,13
y19a3s13d8,20
y19a3s14d6,12
y19a4s1d1,8
y19a4s2d1,6
y19a4s3d1,4
y19a4s4d1,9
y19a4s5d1,5
y19a4s6d1,6
y19a4s7d1,4
y19a4s8d1,7
y19a4s9d1,9
y19a4s10d1,6
y19a4s11d1,8
y19a4s13d1,5
y19a4s14d1,6
y19a4s15d1,4
y19a5s1d1,10
y19a5s1d2,8
y19a5s1d3,6
y19a5s1d4,7
y19a5s2d1,16
y19a5s2d2,5
y19a5s4d1,20
y19a5s4d2,7
y19a5s5d1,18
y19a5s5d2,9
